,category,description,photo,price,productName
0,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p>AZ2108</p>
<p><strong>Lampę można zamontować jako sufitową lub wiszącą</strong></p>
<p><strong>Kolor:</strong> chrom</p>
<p><strong>Wykonanie:</strong> Metal, szkło</p>
<p><strong>Źródło światła:</strong> 6 x G9 max 40W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 120 cm</p>
<p>Średnica: 52 cm</p>
<p>W ofercie naszej strony znajdziecie Państwo <a href=""lampy-wiszace.html"">nowoczesne lampy</a>, najmodniejsze wzory i nakorzystniejsze ceny!</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-sufitowa-kalabria-azzardo-del-3872-6p.jpg,1799.00,Lampa wisząca / sufitowa KALABRIA AZzardo DEL-3872-6P
1,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p><strong>AZ2107</strong></p>
<p><strong>Lampę można zamontować jako sufitową lub wiszącą</strong></p>
<p><strong>Kolor:</strong> chrom</p>
<p><strong>Wykonanie:</strong> Metal, szkło</p>
<p><strong>Źródło światła:</strong> 5 x E14 max 40W - nie w komplecie</p>
<p>Gratis żarówki LED 5W o barwie ciepłej lub zimnej</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 160 cm</p>
<p>Średnica: 57 cm</p>
<p>W ofercie CudowneLampy.pl znajdziecie Państwo <a href=""lampy-wiszace.html"">nowoczesne lampy</a>, najmodniejsze wzory i nakorzystniejsze ceny!</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-sufitowa-salerno-azzardo-del-6293-5p-(zarowki-led-gratis).jpg,1449.00,Lampa wisząca / sufitowa SALERNO AZzardo DEL-6293-5P (żarówki LED Gratis)
2,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p><strong>Kolor:</strong> do wyboru</p>
<p>- biały  AZ1065</p>
<p>- czarny AZ1064</p>
<p>- czerwony AZ1066</p>
<p><strong>Wykonanie:</strong> Metal, szkło</p>
<p><strong>Źródło światła:</strong> 3 x E14 max 40W - nie w komplecie</p>
<p>Klasa enegetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 120 cm</p>
<p>Szerokość: 62 cm</p>
<p>Wysokość klosza: 17 cm</p>
<p>Średnica klosza: 16 cm</p>
<p>W ofercie CudowneLampy.pl znajdziecie Państwo <a href=""lampy-wiszace.html"">nowoczesne lampy</a>, najmodniejsze wzory i nakorzystniejsze ceny!</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-aga-azzardo-md1289-3-(kolor-do-wyboru).jpg,669.00,Lampa wisząca AGA AZzardo MD1289-3 (kolor do wyboru)
3,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/nowodvorski-(technolux).html"" title=""Nowodvorski"">Nowodvorski</a></p><p><strong>Wykonanie:</strong> szkło, stal, mosiądz</p>
<p><strong>Kolor</strong> <strong>do wyboru</strong>:</p>
<p>- dymiony 8380</p>
<p>- złoty 8381</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 40W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Średnica: 30 cm</p>
<p>Wysokość: max 170 cm</p>
<p>Wysokość: 22 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-amalfi-l-nowodvorski-8380-8381-(kolor-do-wyboru).jpg,499.00,Lampa wisząca AMALFI L Nowodvorski 8380 / 8381 (kolor do wyboru)
4,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/zuma-line.html"" title=""Zuma Line"">Zuma Line</a></p><p><strong>Wykonanie:</strong> metal, szkło</p>
<p>Kolor:</p>
<p>- srebrny</p>
<p><strong>Źródło światła:</strong> 4 x E14 max 40W - nie w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: 94 cm</p>
<p>Średnica: 29 cm</p>
<p>Klasa energetyczna: E - A++</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-amedeo-zuma-line-17106-3-1-chr.jpg,649.00,Lampa wisząca AMEDEO Zuma Line 17106/3+1-CHR
5,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/zuma-line.html"" title=""Zuma Line"">Zuma Line</a></p><p><strong>Wykonanie:</strong> metal, szkło</p>
<p>Kolor: srebrny</p>
<p><strong>Źródło światła:</strong> 5 x E14 max 40W - nie w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: 100 cm</p>
<p>Średnica: 39 cm</p>
<p>Klasa energetyczna: E - A++</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-quasar-zuma-line-17106-4-1-chr.jpg,899.00,Lampa wisząca AMEDEO Zuma Line 17106/4+1-CHR
6,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/zuma-line.html"" title=""Zuma Line"">Zuma Line</a></p><p><strong>Wykonanie:</strong> metal, szkło, kryształ</p>
<p>Kolor: srebrny, chrom, transparentny</p>
<p><strong>Źródło światła:</strong> 5 x G9 max 25W- nie w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 120 cm</p>
<p>Średnica: 40 cm</p>
<p>Klasa energetyczna: G - A</p>
<p> </p>",https://www.cudownelampy.pl/files/lampa-wiszaca-cassia-srebrna-zuma-line-19151.jpg,549.00,Lampa wisząca CASSIA srebrna Zuma Line 19151
7,lampy-wiszace,"<p><strong>Wykonanie:</strong> stal</p>
<p><strong>Kolor:</strong> do wyboru:</p>
<p>- srebrny</p>
<p>- czarny</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 40W - nie w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Szerokość: 37 cm</p>
<p>Wysokość: max 120 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-diamante-eko-light-300-kolor-do-wyboru.jpg,189.00,Lampa wisząca DIAMANTE Eko-Light 300 - kolor do wyboru
8,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/nowodvorski-(technolux).html"" title=""Nowodvorski"">Nowodvorski</a></p><p><strong>Wykonanie:</strong> stal lakierowana</p>
<p><strong>Kolor:</strong> do wyboru:</p>
<p>- Biały kabel czerwony 6342</p>
<p>- Biały 8801 - wyprzedany</p>
<p>- Czarny 6344</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 60W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Średnica: 25 cm</p>
<p>Wysokość: max 150 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-diamond-nowodvorski-6342-6344-(kolor-do-wyboru).jpg,105.00,Lampa wisząca DIAMOND Nowodvorski 6342 / 6344 (kolor do wyboru)
9,lampy-wiszace,"<p><strong>Produkt:</strong> Lampa wisząca DRESS firmy Wofi 7200.04.01.1000 </p>
<p>Kolor: chrom</p>
<p><strong>Wykonanie:</strong> Metal</p>
<p><strong>Źródło światła:</strong> 4 x GY6,35 max 35W - w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 150 cm</p>
<p>Szerokość: 115 cm </p>
<p>Wymiary klosza: 21 cm x 5 cm</p>
<p>W ofercie CudowneLampy.pl znajdziecie Państwo <a href=""lampy-wiszace.html"">nowoczesne lampy</a>, najmodniejsze wzory i nakorzystniejsze ceny!</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-dress-wofi-720004.jpg,599.00,Lampa wisząca DRESS Wofi 7200.04
